Turn,Roll,Player Tile
0,-1,1
1,4,1
2,7,1
3,5,1
4,4,1
5,5,1
6,2,3
7,4,3
8,3,6
9,8,3
10,8,1
11,11,2
12,9,2
13,3,5
14,9,2
15,9,2
16,12,7
17,7,2
18,8,2
19,8,2
20,5,1
21,5,1
22,5,1
23,7,1
24,8,1
25,10,2
26,6,2
27,6,2
28,9,2
29,7,2
30,7,2
31,6,2
32,11,4
33,5,2
34,7,2
35,8,2
36,10,4
37,4,2
38,8,2
39,11,4
40,5,2
41,8,2
42,8,2
43,6,2
44,6,2
45,10,4
46,7,4
47,4,2
48,9,2
49,12,7
50,10,9
51,7,4
52,9,4
53,3,7
54,10,9
55,11,9
56,9,9
57,10,9
58,8,9
59,10,9
60,4,7
61,6,2
62,11,4
63,3,7
64,6,2
65,10,4
66,8,4
67,2,7
68,6,2
69,11,4
70,2,7
71,7,2
72,12,7
73,6,2
74,9,2
75,4,1
76,7,1
77,6,1
78,5,1
79,9,1
80,6,1
81,12,5
82,6,1
83,9,1
84,9,1
85,4,1
86,5,1
87,4,1
88,9,1
89,6,1
90,6,1
91,5,1
92,4,1
93,7,1
94,8,1
95,8,1
96,8,1
97,9,1
98,6,1
99,7,1
100,7,1
101,8,1
102,3,3
103,6,3
104,8,1
105,3,3
106,8,1
107,12,5
108,9,2
109,10,4
110,7,4
111,8,4
112,10,4
113,8,4
114,6,4
115,6,4
116,6,4
117,9,4
118,7,4
119,10,4
120,6,4
121,2,7
122,8,4
123,4,2
124,11,4
125,9,4
126,5,2
127,4,1
128,11,2
129,4,1
130,10,2
131,5,1
132,8,1
133,6,1
134,12,5
135,5,3
136,10,5
137,11,7
138,5,5
139,7,1
140,5,1
141,10,2
142,7,2
143,8,2
144,10,4
145,6,4
146,10,4
147,4,2
148,11,4
149,3,7
150,6,2
151,10,4
152,10,4
153,6,4
154,5,2
155,7,2
156,5,1
157,5,1
158,11,2
159,3,5
160,8,2
161,6,2
162,5,1
163,9,1
164,6,1
165,4,1
166,11,2
167,3,5
168,5,3
169,6,3
170,9,1
171,4,1
172,6,1
173,10,2
174,4,1
175,5,1
176,5,1
177,3,3
178,8,1
179,8,1
180,9,1
181,4,1
182,11,2
183,4,1
184,10,2
185,10,4
186,7,4
187,7,4
188,7,4
189,7,4
190,10,4
191,7,4
192,6,4
193,8,4
194,7,4
195,8,4
196,9,4
197,6,4
198,7,4
199,6,4
200,6,4
201,11,4
202,7,4
203,10,4
204,6,4
205,9,4
206,8,4
207,5,2
208,6,2
209,8,2
210,8,2
211,12,7
212,9,4
213,9,4
214,7,4
215,6,4
216,8,4
217,7,4
218,6,4
219,8,4
220,4,2
221,6,2
222,7,2
223,9,2
224,6,2
225,10,4
226,4,2
227,8,2
228,7,2
229,8,2
230,2,5
231,6,1
232,10,2
233,10,4
234,7,4
235,9,4
236,9,4
237,6,4
238,4,2
239,6,2
240,7,2
241,10,4
242,5,2
243,8,2
244,6,2
245,6,2
246,7,2
247,7,2
248,2,5
249,9,2
250,5,1
251,9,1
252,9,1
253,7,1
254,9,1
255,2,3
256,3,6
257,2,6
258,5,6
259,10,8
260,9,5
261,8,2
262,10,4
263,3,7
264,11,9
265,7,4
266,11,4
267,8,4
268,4,2
269,11,4
270,5,2
271,3,5
272,8,2
273,10,4
274,5,2
275,5,1
276,10,2
277,4,1
278,7,1
279,8,1
280,5,1
281,7,1
282,8,1
283,11,2
284,7,2
285,9,2
286,4,1
287,10,2
288,2,5
289,8,2
290,9,2
291,11,4
292,7,4
293,7,4
294,5,2
295,6,2
296,11,4
297,8,4
298,4,2
299,9,2
300,10,4
301,5,2
302,5,1
303,11,2
304,7,2
305,11,4
306,6,4
307,2,7
308,8,4
309,5,2
310,10,4
311,7,4
312,3,7
313,6,2
314,11,4
315,6,4
316,7,4
317,10,4
318,4,2
319,4,1
320,10,2
321,3,5
322,11,7
323,7,2
324,4,1
325,11,2
326,10,4
327,12,9
328,8,9
329,9,9
330,9,9
331,4,7
332,12,12
333,6,7
334,10,9
335,3,12
336,10,14
337,3,17
338,7,12
339,6,7
340,7,2
341,12,7
342,10,9
343,2,12
344,9,9
345,8,9
346,2,12
347,10,14
348,9,14
349,8,14
350,2,17
351,9,14
352,5,12
353,4,10
354,6,5
355,11,7
356,6,2
357,4,1
358,6,1
359,5,1
360,8,1
361,9,1
362,10,2
363,9,2
364,10,4
365,9,4
366,9,4
367,7,4
368,5,2
369,3,5
370,8,2
371,7,2
372,3,5
373,7,1
374,5,1
375,11,2
376,5,1
377,7,1
378,10,2
379,7,2
380,9,2
381,8,2
382,2,5
383,7,1
384,7,1
385,2,3
386,7,3
387,6,3
388,11,5
389,7,1
390,8,1
391,9,1
392,3,3
393,11,5
394,9,2
395,7,2
396,6,2
397,8,2
398,6,2
399,8,2
400,12,7
401,9,4
402,8,4
403,9,4
404,9,4
405,7,4
406,3,7
407,9,4
408,7,4
409,10,4
410,7,4
411,8,4
412,6,4
413,10,4
414,8,4
415,11,4
416,5,2
417,7,2
418,12,7
419,5,5
420,10,7
421,3,10
422,8,7
423,8,4
424,9,4
425,5,2
426,11,4
427,8,4
428,9,4
429,4,2
430,10,4
431,8,4
432,12,9
433,5,7
434,4,5
435,9,2
436,6,2
437,10,4
438,7,4
439,2,7
440,9,4
441,3,7
442,9,4
443,5,2
444,8,2
445,5,1
446,8,1
447,11,2
448,7,2
449,7,2
450,5,1
451,10,2
452,8,2
453,6,2
454,4,1
455,11,2
456,3,5
457,12,10
458,9,7
459,9,4
460,9,4
461,9,4
462,7,4
463,11,4
464,6,4
465,9,4
466,9,4
467,8,4
468,7,4
469,8,4
470,7,4
471,9,4
472,5,2
473,8,2
474,4,1
475,3,3
476,8,1
477,9,1
478,2,3
479,6,3
480,7,3
481,5,3
482,8,1
483,3,3
484,3,6
485,4,6
486,9,3
487,4,3
488,8,1
489,9,1
490,7,1
491,9,1
492,2,3
493,3,6
494,12,11
495,11,13
496,11,15
497,9,12
498,8,9
499,5,7
500,6,2
